state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
NY,60000.0,98,5880000.0,2470000.0,1.25,7350000.0,2002
NC,16000.0,42,672000.0,74000.0,1.41,948000.0,2002
ND,320000.0,75,24000000.0,8160000.0,1.46,35040000.0,2002
OH,18000.0,70,1260000.0,504000.0,1.44,1814000.0,2002
OK,3000.0,53,159000.0,51000.0,1.63,259000.0,2002
OR,43000.0,49,2107000.0,885000.0,1.35,2844000.0,2002
PA,29000.0,57,1653000.0,827000.0,1.34,2215000.0,2002
SC,5000.0,94,470000.0,14000.0,1.25,588000.0,2002
SD,225000.0,51,11475000.0,2410000.0,1.42,16295000.0,2002
TN,8000.0,61,488000.0,137000.0,1.4,683000.0,2002
TX,114000.0,67,7638000.0,985000.0,1.14,8707000.0,2002
UT,22000.0,59,1298000.0,208000.0,1.3,1687000.0,2002
VT,7000.0,89,623000.0,274000.0,1.2,748000.0,2002
VA,8000.0,38,304000.0,79000.0,1.9,578000.0,2002
WA,50000.0,51,2550000.0,561000.0,1.27,3239000.0,2002
WV,9000.0,51,459000.0,151000.0,1.32,606000.0,2002
WI,70000.0,95,6650000.0,2461000.0,1.34,8911000.0,2002
WY,38000.0,63,2394000.0,383000.0,1.33,3184000.0,2002
AL,13000.0,82,1066000.0,43000.0,1.24,1322000.0,2003
AZ,35000.0,72,2520000.0,983000.0,1.34,3377000.0,2003
AR,40000.0,75,3000000.0,810000.0,1.26,3780000.0,2003
CA,480000.0,67,32160000.0,6432000.0,1.39,44702000.0,2003
CO,24000.0,86,2064000.0,722000.0,1.4,2890000.0,2003
FL,210000.0,71,14910000.0,1491000.0,1.32,19681000.0,2003
GA,52000.0,65,3380000.0,270000.0,1.28,4326000.0,2003
HI,7000.0,114,798000.0,43000.0,1.45,1157000.0,2003
ID,100000.0,46,4600000.0,1380000.0,1.33,6118000.0,2003
IL,7000.0,60,420000.0,252000.0,1.83,769000.0,2003
IN,5000.0,56,280000.0,78000.0,1.66,465000.0,2003
IA,32000.0,59,1888000.0,868000.0,1.42,2681000.0,2003
KS,16000.0,57,912000.0,447000.0,1.41,1286000.0,2003
KY,5000.0,48,240000.0,14000.0,1.67,401000.0,2003
LA,34000.0,90,3060000.0,275000.0,1.24,3794000.0,2003
ME,8000.0,33,264000.0,145000.0,1.41,372000.0,2003
MD,2000.0,42,84000.0,21000.0,1.93,162000.0,2003
MI,65000.0,74,4810000.0,1732000.0,1.41,6782000.0,2003
MN,120000.0,83,9960000.0,1892000.0,1.44,14342000.0,2003
MS,21000.0,69,1449000.0,246000.0,1.29,1869000.0,2003
MO,17000.0,53,901000.0,189000.0,1.41,1270000.0,2003
MT,145000.0,66,9570000.0,1914000.0,1.44,13781000.0,2003
NE,45000.0,74,3330000.0,1299000.0,1.38,4595000.0,2003
NV,6000.0,64,384000.0,46000.0,2.04,783000.0,2003
